"","Comp.1","Comp.2","Comp.3"
"1",-11.3343328963614,-7.03191884279477,-1.36331518615986
"2",-11.5092334334511,-6.7551932243647,-1.23590727122657
"3",-11.1522500614114,-6.20024053844055,-2.62250218363054
"4",-11.3377933832716,-6.10676642588913,-2.02866864702606
"5",-11.3669500183055,-6.26467137758088,-2.0570391708173
"6",-11.210254062848,-6.32590319079152,-2.64793956038897
"7",-11.1893750301215,-6.32487016875009,-2.59336391124661
"8",-11.1887770205323,-6.48851458666459,-2.66212801985216
"9",-11.040432762603,-7.07949991765614,-3.51142893851603
"10",-11.0150582625549,-7.19617731513498,-3.46633011175271
"11",-11.0917809453553,-7.28381151722513,-3.81402435308227
"12",-10.9219427538609,-7.30640170462687,-4.95411753165089
"13",-10.5753446970332,-8.09742998385041,-4.69538108484813
"14",-10.826408330384,-6.93575873990899,-4.05089132899219
"15",-10.7210582652752,-7.64444534185606,-3.99862894311752
"16",-10.4982849859541,-8.26837896623832,-4.51807828283565
"17",-10.5844546200355,-7.64349566195581,-3.87442753774599
"18",-10.5237560766052,-8.004652492441,-3.54952380124703
"19",-10.3251121947677,-8.5406027856677,-3.88920474561045
"20",-10.5300967487742,-7.79424739428987,-3.04807024438754
"21",-10.6674724791799,-7.81284496862481,-3.26932273621087
"22",-10.5352138152444,-7.41424555131708,-2.50330120683439
"23",-10.5436002914336,-7.1470258752034,-1.92675023604477
"24",-10.5734178506006,-7.54718874823653,-2.22484271428862
"25",-10.6028830959135,-7.77140737000713,-2.60199977892397
"26",-10.5302966309647,-7.58365291869003,-2.09258685663764
"27",-10.6441927222937,-6.90716290053542,-1.5202783816793
"28",-10.7860204362049,-7.02222044607494,-1.03631556170258
"29",-10.5605613036294,-7.40911206382361,-1.65541785415003
"30",-10.7126541897114,-6.98592613521019,-1.70058484829477
"31",-10.7185085664851,-7.05725151376859,-1.55429482102914
"32",-10.776221293426,-6.68977876371095,-1.34870810138486
"33",-10.662540377163,-6.61438802311275,-1.55099146604602
"34",-10.7919347096491,-6.60340077559834,-1.38635074264923
"35",-10.7841552113065,-6.5614458192996,-0.951667491379377
"36",-10.8650645164764,-6.69418264649661,-1.1394133562326
"37",-10.4677312168337,-6.57416280846031,-1.62804915158622
"38",-10.5768242425531,-6.48390274027191,-1.30643635545863
"39",-10.6266682259331,-6.61552997874286,-0.966509241801893
"40",-10.7690839185145,-6.85215147030569,-0.590299243594277
"41",-10.7121927189005,-6.56754172414997,-0.473286138798149
"42",-10.5906724481977,-6.64079505328316,-0.496655139946185
"43",-10.5872486200568,-6.753473688595,-0.615395839414945
"44",-10.7366286007114,-6.39883974427094,-0.26482920444515
"45",-10.7913089089025,-6.46595238839041,0.115869536542256
"46",-10.7978453235134,-6.49431776907314,0.256106471370828
"47",-10.6996240827248,-6.45649031943116,-0.245410816247224
"48",-10.5879885844967,-6.55463109933663,-0.366741822769365
"49",-10.6972350929114,-6.38606281235458,-0.572594399689009
"50",-10.8049177192454,-6.57561675878017,0.547095673574866
"51",-10.5993888076361,-6.69053343926344,-0.435057584120007
"52",-10.463934088258,-6.50506098889243,-0.478831648260443
"53",-10.4891040021403,-6.59451964237671,-0.192526336627488
"54",-10.5045116196065,-6.60148655459687,-0.104161711294804
"55",-10.4287656605963,-6.71100122922206,0.0690621223446668
"56",-10.4748661576985,-6.54307257357841,0.216651506174634
"57",-10.4010405678812,-6.56046227592315,-0.0891597097590791
"58",-10.4308125157305,-6.7991353644588,-0.34035905109121
"59",-10.3737469888422,-6.66348782839234,0.0976612413976863
"60",-10.3874140662852,-6.42660992702782,0.213892117942576
"61",-10.2340421849271,-6.21604317535062,0.41321254794922
"62",-10.2576021347864,-6.16764459009544,0.307898218655143
"63",-10.361270978235,-6.24829152536897,0.665390590031303
"64",-10.3990206921869,-6.14842873527688,0.501764162384731
"65",-10.4102472181755,-6.15927117466245,0.959958986966265
"66",-10.4602559810498,-6.14317597622595,0.932524339227612
"67",-10.4629935146839,-6.03896014971281,1.16440181895538
"68",-10.4310971698191,-6.02193717600198,0.981892326714873
"69",-10.4064895150077,-6.2019169458116,1.03086890284621
"70",-10.3306903317452,-6.16733297677778,1.26630223420196
"71",-10.3655983191046,-6.19694957534417,1.52964905495985
"72",-10.507251637977,-6.232004044338,2.03476121266044
"73",-10.3375387247018,-6.20650063870805,1.75211534434289
"74",-10.1865448025044,-5.91500422734089,1.55348154278557
"75",-10.3252123206138,-5.94991699524653,1.86888229679637
"76",-10.2045275215865,-5.92825693976241,1.68437896707299
"77",-10.2893076151613,-5.43912088263396,1.23784824007781
"78",-10.3066740048692,-5.061990665132,1.0630583587371
"79",-10.3130959092025,-5.00250691939958,0.711435408337154
"80",-10.3921889464052,-4.90363315645288,0.63917019568248
"81",-10.2590435065299,-5.13363690155688,-0.0517934348346443
"82",-10.0943344298881,-4.87516540765122,-0.231964183130769
"83",-10.288561402139,-4.65024657823905,0.0183939380729918
"84",-10.2758120057112,-4.78790603546797,-0.27665230702729
"85",-10.3723327503655,-5.29680572535438,0.506755744857188
"86",-10.4722844526601,-4.87071971762213,0.0977500093903878
"87",-10.1970808277457,-5.07638389808356,-0.22375849900415
"88",-10.2081588399895,-5.44123937283974,-0.189110804736082
"89",-10.2988998449113,-5.44283534816238,0.0608882115422874
"90",-10.2663309315622,-5.3400420517677,0.0661297391505396
"91",-10.2775469248754,-6.07022877777375,0.0437754113920956
"92",-10.1886316306491,-5.88369803307104,0.395141508072232
"93",-10.2683909178252,-5.9476006478118,0.515368545180151
"94",-10.2336788688775,-6.05344424043296,0.385165431550083
"95",-10.2025871026338,-5.78084886114124,0.61748535131436
"96",-10.0866487763368,-5.40201974255844,0.584671056457779
"97",-10.148784061751,-5.21621386671873,0.408590626010883
"98",-10.1879059775495,-4.93437644736085,1.18336191759347
"99",-10.2780665620793,-4.71468519155152,1.3830229699537
"100",-10.5204532725687,-4.02625639082606,1.67059794672767
"101",-10.3649248088783,-3.83160718808436,1.87573318836951
"102",-10.3436665138112,-3.76295611405136,1.76793962954291
"103",-10.3593616265599,-3.68083984252704,2.06693628859433
"104",-10.4457867968481,-3.47816080158192,2.22684595236254
"105",-10.3266118166773,-3.81543606518817,2.68288254269128
"106",-10.2266105478764,-3.73496792776637,2.74998206244943
"107",-10.1880236341354,-3.71593929325527,2.68822936285602
"108",-10.1977607726555,-3.79757118112986,2.24574933781636
"109",-10.4302629015132,-3.74430218853793,2.99972273124327
"110",-10.582152110962,-3.32433447889496,3.06153742650176
"111",-10.4755131587563,-3.10987758398289,2.94875931039072
"112",-10.4829624786679,-2.41152081265133,3.29104157632984
"113",-10.8123373961915,-0.986921732207683,3.76436898894702
"114",-10.8501970849874,-1.10360181944727,3.4663069748645
"115",-10.5923275138227,-1.61955237042818,2.52361478831042
"116",-10.7637660520803,-0.836797339880138,3.01190481835696
"117",-10.6835180427961,-0.883770755240047,2.81740617272995
"118",-10.6147419740061,-1.03096490209765,2.36712901851129
"119",-10.4450255767904,-1.38355886558587,1.85814343704823
"120",-10.4883568502225,-1.48026989221256,1.61282606469119
"121",-10.3775243980434,-1.24062941713613,0.406667988592818
"122",-10.5987410153686,-0.868644898233908,0.953695767154608
"123",-10.3748849103272,-1.94429431899611,0.239130869549914
"124",-10.4372629674606,-1.21149367426251,0.0937991323741836
"125",-10.4075777204089,-1.57681074932959,-0.234962617675296
"126",-10.4033620908378,-1.94700294650995,-0.403327039570306
