"","V1","V2","V3"
"1",-0.453313495413256,0.0703712583987734,-0.218437247258873
"2",-0.695746067889238,0.181109544542527,-0.223838109093906
"3",-0.332097209175265,-0.833562193611868,-0.25894371102162
"4",-0.453313495413256,-0.370006577196155,-0.237340263681488
"5",-0.513921638532252,-0.416362138837726,-0.256243280104104
"6",-0.332097209175265,-0.478169554359821,-0.399366118732479
"7",-0.27148906605627,-0.606935003364186,-0.423669996990128
"8",-0.210880922937275,-0.228364583291353,-0.491180769928041
"9",-0.27148906605627,-0.864465901372916,-0.593797144793668
"10",0.0921597926577017,-0.480744863339909,-0.628902746721383
"11",0.0921597926577017,-0.480744863339909,-0.637004039473933
"12",0.395200508252678,-0.952026406695884,-0.761223861679692
"13",0.395200508252678,-0.642989329085408,-0.904346700308068
"14",0.577024937609665,-0.532251042941654,-0.609999730298767
"15",0.577024937609665,-0.310774470654147,-0.750422138009626
"16",0.63763308072866,-0.686769581746893,-0.893544976638002
"17",0.698241223847655,-0.52710042498148,-0.761223861679692
"18",0.577024937609665,-0.130502842048036,-0.828734634617605
"19",0.63763308072866,-0.251542364112139,-0.97995876599853
"20",0.395200508252678,-0.310774470654147,-0.755822999844659
"21",0.455808651371674,-0.00946331998393285,-0.788228170854858
"22",0.334592365133683,-0.045517645705155,-0.68561179598923
"23",0.0921597926577017,-0.122776915107774,-0.591096713876152
"24",0.0315516495387066,-0.17428309470952,-0.666708779566614
"25",-0.0896646366992842,-0.184584330629869,-0.715316536081912
"26",-0.27148906605627,-0.398334975977115,-0.655907055896548
"27",-0.210880922937275,0.0265910057372893,-0.526286371855755
"28",-0.210880922937275,0.235191033124361,-0.545189388278371
"29",-0.27148906605627,0.129603364940781,-0.658607486814065
"30",-0.27148906605627,-0.0738460444861153,-0.572193697453536
"31",-0.332097209175265,0.0446181685979004,-0.564092404700987
"32",-0.150272779818279,0.217163870263749,-0.504682924515623
"33",-0.210880922937275,-0.279870762893099,-0.512784217268173
"34",-0.332097209175265,0.258368813945146,-0.512784217268173
"35",-0.150272779818279,0.487571313172916,-0.501982493598107
"36",-0.27148906605627,0.338203392327853,-0.504682924515623
"37",-0.150272779818279,-0.485895481300083,-0.50738335543314
"38",-0.0290564935802885,0.0600700224784242,-0.485779908093008
"39",-0.150272779818279,0.260944122925234,-0.491180769928041
"40",-0.150272779818279,0.660117014838765,-0.512784217268173
"41",-0.0290564935802885,0.536502183794574,-0.485779908093008
"42",-0.210880922937275,0.400010807849948,-0.488480339010524
