"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119"
"1",-1.39519407661845,-1.43617087342403,-1.37509389580224,-1.41836512323125,-1.1179801422466,-1.64655513565522,-1.73741907058747,-1.71947195637134,-1.9710350636522,-1.58120144520035,-2.16527230964775,-1.31827126921156,-1.51195487747363,-1.1648758010177,-2.40616965087515,-1.60495488997623,-2.01435502186522,-1.94152065995916,1.23400702182527,-1.27825311823347,-0.274961442015664,-1.73774114500968,-1.71276556119252,-0.52751563255992,-1.66426361884149,-1.21967037067808,-0.877316933575744,-0.995934094351889,-0.751961380426859,-0.515177008197698,-1.74268598497042,-1.25980537432698,0.0869367412834212,-1.50175331471854,-0.102468207162024,-0.340600927342035,0.244002000159954,-1.65002790986071,-1.81259863064469,-1.99051216129587,-1.85620503396676,-1.7689642655493,-2.16430933282835,-0.30777234886697,-1.06548864361205,-0.259983494314903,1.55827980707758,0.833682197598034,-0.737209155667016,-0.216184582606154,-0.724668235975112,1.15668131615857,-0.0746307952247735,-1.27871654003108,-0.791975164978341,-1.41564851623008,-1.21384458742563,-1.26669551274436,0.645374437231597,-0.445461690124032,-0.917535345869042,-1.22355898375893,-0.650178823736093,-0.50905700784596,-0.497666214000652,-1.06218632845806,-0.924621037806466,-0.946521685916729,0.0112975828830395,-0.789653223363915,-0.743931605440459,0.304315531098297,-0.206236640731334,-0.000509358347172968,-0.00430720347846852,0.0753225303198377,0.0501927999166661,-0.193335488874495,-0.384676528148853,-0.835403637571179,-0.863459619690307,1.87947639699699,1.1313132915442,1.38353224927439,1.28567428455642,0.149518002733694,-0.20593643205365,-0.764818927631634,-0.865384893468406,1.82915537252655,1.65645260497159,1.91919124404335,-1.51642065438991,-1.39968054349166,-1.34616094579518,-1.36833362563315,-1.21888403818877,-1.00354787027584,-1.32510636533727,-1.34334062388809,-1.83297972981938,-1.37202565080429,-1.1335853755193,-1.47888195448205,-1.66790226535282,-1.26740168843502,-1.3393752575388,-1.37458035064009,-1.36130370810954,-1.41314525535384,-1.5816575133371,-1.47122594957605,-1.29717186518125,-1.3677410267825,-1.42446925365671,-1.38739246580497,-0.981148377004255,-1.00114378165293,-0.864932829679465
"2",-1.39454769231583,-1.43555807622647,-1.37269061715477,-1.40711850536627,-1.11757453393385,-1.65479506381141,-1.74279220090367,-1.72254081875443,-1.98790878630088,-1.59172504208868,-2.18521240266875,-1.31648291802485,-1.52314560996801,-1.17218283372374,-2.41542060425106,-1.61145071128474,-2.0153889643617,-1.92130118987282,1.04591433944284,-1.27825311823347,-0.125373686731635,-1.73816736304814,-1.70328811528158,-0.581458157946797,-2.01476189618938,-1.23205365336338,-0.91745537669995,-1.05912530933229,-0.778539743311093,-0.551378376690332,-1.7346915088424,-1.19962180716043,0.122590584240188,-1.47972779931341,-0.0692786185077014,-0.291578102747492,0.25320636830697,-1.64587897439544,-1.80614347329799,-1.98608599337189,-1.84922786121996,-1.76407444879596,-2.15989768062085,-0.925367495294241,-1.34508890450763,-0.668116026390919,1.48325712896645,1.08762739864305,-0.841213133402669,0.16320910306624,-0.735117129555831,0.935940287285584,-0.0397907525686952,-1.40945771507392,-0.501764127484287,-1.41627137026288,-1.21664521210575,-1.26508018566164,0.81386264053023,-0.445488893787675,-0.917495949422237,-1.22401886210145,-0.650912644381388,-0.50967431560328,-0.498287861972316,-1.06196515417966,-0.924575477746119,-0.946155912129989,0.0409038235226383,-0.791936034997961,-0.745906993751595,0.476287642476425,-0.312682569857959,-0.0720666037615823,-0.126401454976715,-0.0628299317349043,-0.0586253152866824,-0.266245174923866,-0.462459774007161,-0.853856741717051,-0.863459619690307,1.34389242109218,0.604671359786258,0.829313238311097,0.826149951189396,-0.00848307834274972,-0.33744201700153,-0.780588462023616,-0.855383284566564,1.83797749161076,1.65902207981412,1.92644659364821,-1.52577888218694,-1.39968054349166,-1.34616094579518,-1.36669025537942,-1.21888403818877,-1.00354787027584,-1.32363691197246,-1.3428301707384,-1.82643635158615,-1.37202565080429,-1.13297499881836,-1.48067891414205,-1.66790226535282,-1.26642141507539,-1.3393752575388,-1.37458035064009,-1.35995697468,-1.41261852715794,-1.57816995822661,-1.47119122579596,-1.2966131250032,-1.36638335202157,-1.42203622976028,-1.385890589691,-0.980868585318092,-1.00089245050982,-0.866531806344081
"3",-1.39346616911261,-1.43494527902891,-1.36483374465342,-1.42890205578727,-1.117695611016,-1.66303881560016,-1.74601982343507,-1.72356006652659,-1.98622185106586,-1.60663764420543,-2.1674840947098,-1.31588379027038,-1.53713117371737,-1.18588429607058,-2.4147655900935,-1.6216620553841,-1.98425963638418,-1.90108171978648,0.775150294031784,-1.33046969743667,-0.40054145710519,-1.75619966467531,-1.73616409065762,-0.594943789293516,-1.61685322383791,-1.13523889782372,-0.853450832258648,-0.881192151361167,-0.770418576874244,-0.297014909398724,-1.73666504060622,-1.32210064560464,0.110220883622535,-1.59811494461598,-0.0939580562250184,-0.332075218716897,0.25218366073508,-1.64013684771152,-1.80854110316962,-1.982130694376,-1.85068752079042,-1.76065157706863,-2.11369142855284,-1.23416506850788,-1.48488903495542,-1.07624855846693,-0.362300752567513,-0.710304624755659,-1.1641728537397,-0.152952301660755,-1.08254284111472,-0.104695991687054,-0.817885038554444,-1.57036993051126,-0.220347363853689,-1.41831960151952,-1.21931099186598,-1.26388422234998,1.06659493732379,-0.445516097451318,-0.917318665411615,-1.22198225801316,-0.650979355349142,-0.50988008485572,-0.498287861972316,-1.06164227610594,-0.924519182986621,-0.945633789828762,0.087967494518238,-0.792707118038794,-0.746565456521973,0.57638849101607,-0.353742855663012,-0.120725530643381,-0.329891874140459,-0.279478110866204,-0.246851244287069,-0.386704656222827,-0.543624900120179,-0.879691087521271,-0.894065847161338,1.25074738180439,-0.135474057819504,0.0903545570267098,0.156557351140298,-0.196579603433755,-0.406325894831373,-0.749049393239653,-0.83538006676288,1.83740568759604,1.65902207981412,1.93183628192611,-1.53014605515888,-1.39464021428884,-1.33989986977212,-1.36669025537942,-1.21467291272031,-1.00354787027584,-1.32510636533727,-1.3428301707384,-1.82643635158615,-1.37353484362329,-1.13236462211742,-1.47888195448205,-1.67101069552322,-1.26544114171576,-1.3393752575388,-1.37458035064009,-1.35995697468,-1.41233967105423,-1.58443255718846,-1.47004534105292,-1.29641756594088,-1.36502567726065,-1.40987111027813,-1.385890589691,-0.980374835283688,-1.00059767941606,-0.867897573713579
"4",-1.39152390965471,-1.43252194465675,-1.35611415674017,-1.42133375135523,-1.11481397570202,-1.67025018659903,-1.74386682696691,-1.72254081875443,-1.97610023965578,-1.60751401444256,-2.1475440016888,-1.31887039696603,-1.55671020246816,-1.20095466301529,-2.42791971002472,-1.62816150159289,-1.98322186447104,-1.84042901801703,0.580727189019741,-1.35475647846142,-0.388520993636862,-1.71751218118428,-1.69151941871086,-0.648886314680394,-1.50002046472195,-1.26807774844791,-0.88762275005358,-0.970990193701732,-0.777063167595302,-0.359004370762689,-1.72465660156874,-1.28356204557693,0.137143173202133,-1.51345436977751,-0.116509956208084,-0.373993286123824,0.258319906166424,-1.63064408336699,-1.77866294630773,-1.97224244688628,-1.8220198068266,-1.7572287053413,-2.11160169855982,-0.770968708687432,-2.04408955674659,-1.07624855846693,0.718025812232854,0.122635634671991,-0.95616489826839,-0.261350497567153,-0.923197214008764,0.257949984318563,-0.179150923193008,-1.50499934298984,-0.484175579757375,-1.4202839869822,-1.22146851012216,-1.2638686903496,0.982350843828866,-0.445570504778603,-0.917161079624396,-1.22316480232249,-0.650845933413634,-0.5097772002295,-0.498184253977039,-1.0609467172747,-0.924490661140623,-0.944744615287794,0.144617720252679,-0.791986764145384,-0.746010572164913,0.542125436054082,-0.346322087002337,-0.215181094590401,-0.354936848806766,-0.298317082964578,-0.240969184005807,-0.393044628922773,-0.533479259356052,-0.894453570837968,-0.911069306867465,0.296010729104502,-0.363211109390507,-0.0943851132943869,0.0777817511345214,-0.271818213470157,-0.437636748390392,-0.812127530807578,-0.900390524624853,1.83895772706456,1.65516836187022,1.93929892723397,-1.45528023278266,-1.39464021428884,-1.33989986977212,-1.36833362563315,-1.21326920423082,-1.00354787027584,-1.32657581870208,-1.3411711980019,-1.82316466246953,-1.37353484362329,-1.13175424541648,-1.47708499482204,-1.67411912569363,-1.26544114171576,-1.3393752575388,-1.37318904932351,-1.35861024125046,-1.41048063036282,-1.58188251689262,-1.46612155390253,-1.29574707772722,-1.36638335202157,-1.41960320586385,-1.385890589691,-0.979337960211438,-1.00005778288642,-0.867941267383783
"5",-1.39015614005588,-1.43087853399057,-1.36763756974214,-1.44535721743462,-1.11649694761086,-1.67128256738891,-1.73849369665071,-1.71640680034379,-1.96766119318217,-1.60049947552413,-2.14089892437048,-1.31797321068044,-1.56417069079776,-1.20643648959085,-2.42559126928655,-1.63280137395611,-1.99359958360243,-1.89658913848835,0.424800966624043,-1.36872137755064,-0.385842815242007,-1.71597123904524,-1.68811725864026,-0.74328573410743,-1.52880534740269,-1.18702353450772,-0.941321478017045,-1.06577701617233,-0.808071257626908,-0.241378076101445,-1.73596259709706,-1.32157271957686,0.0854814823872263,-1.50175331471854,-0.150125052409257,-0.425858013593413,0.25218366073508,-1.63947301803708,-1.80116378048767,-1.9775161788808,-1.84373954123503,-1.7557617603153,-2.13528530514744,-1.07976628190106,-1.62468916540322,-0.940204381108253,0.673012205366172,0.224213715089997,-0.999956046788665,-0.414914608434551,-0.829157171782297,0.809802556501022,-0.225604313401113,-1.42454323527117,-0.580912592255393,-1.41809202016973,-1.22272879121598,-1.26298336685419,1.23508314062242,-0.445570504778603,-0.917003493837176,-1.22204795491924,-0.650845933413634,-0.50967431560328,-0.497977037986484,-1.0604187528682,-0.924495903668115,-0.944493504064426,0.148955327889461,-0.792504201449101,-0.74646927656675,0.575779921652997,-0.367899384984237,-0.189420486241214,-0.336153117807036,-0.288897596915391,-0.190971671615079,-0.329644901923319,-0.509806097573088,-0.890762950008794,-0.883863771337661,0.668590886255676,-0.178174754989067,0.037571794077825,0.392884151157626,-0.0686739663718712,-0.349966358425138,-0.770075439095628,-0.825378457861038,1.82727658790676,1.65773684807295,1.9320435776291,-1.36107407295923,-1.39464021428884,-1.33989986977212,-1.36833362563315,-1.21326920423082,-1.00354787027584,-1.32657581870208,-1.34078835813963,-1.81989297335291,-1.37504403644229,-1.13175424541648,-1.47708499482204,-1.67722755586404,-1.26446086835614,-1.3393752575388,-1.37179774800694,-1.35861024125046,-1.40995390216693,-1.58210752044813,-1.46639934414327,-1.29488103045124,-1.36502567726065,-1.41595367001921,-1.385890589691,-0.978589105992591,-0.999604766258103,-0.86777949497161
"6",-1.38970613409443,-1.43104566049899,-1.36776081480098,-1.43889048375825,-1.11664829399273,-1.68261581428216,-1.74924370162479,-1.72662892890968,-1.97778717489079,-1.60839396170107,-2.15197729394505,-1.32155593443833,-1.57722464412879,-1.21922534887246,-2.42428124097144,-1.64208474358283,-1.98841072403673,-1.9055743010846,0.178013396922654,-1.39300815857539,-0.505043164562929,-1.70587315013402,-1.68426379162153,-0.74328573410743,-1.49494077954299,-1.06544221359744,-0.910404028583535,-0.982630680671806,-0.80290324262164,-0.212052649145016,-1.74021070784291,-1.39231480729894,0.05783156335953,-1.51689585655957,-0.196505375015939,-0.490511304000708,0.233774924441048,-1.63924067765102,-1.80300811115816,-1.98100060894861,-1.84432340506322,-1.75331685193863,-2.13528530514744,-1.23416506850788,-1.9042894262988,-1.2122927358256,0.567980456010581,0.478158916135012,-1.27365072504038,-0.342649144496952,-1.07470617092918,0.0529761717936491,-0.539164697305818,-1.51002784972226,-0.598501139982305,-1.41458247783213,-1.22323705272002,-1.26265719503757,1.31932724227174,-0.445570504778603,-0.916727718709542,-1.21987995701881,-0.650645800510371,-0.50957143097706,-0.497769821995929,-1.05976991902682,-0.924514751802669,-0.944036582866224,0.196029937124631,-0.790434452234233,-0.74482681886985,0.470402050475251,-0.301457364812151,-0.315361238170574,-0.59599472996997,-0.552643206292625,-0.440959233568718,-0.446934396872308,-0.577443702667269,-0.894453570837968,-0.890665155220112,0.878167224653211,-0.605181726684698,-0.371494618776032,-0.0272523822065136,0.0517078096863719,-0.143314724935612,-0.496736842967953,-0.570337430864068,1.81951639056417,1.66546207947716,1.92520281943023,-1.33424715327442,-1.39464021428884,-1.33989986977212,-1.36669025537942,-1.21888403818877,-1.00354787027584,-1.32510636533727,-1.34027790498994,-1.81989297335291,-1.37504403644229,-1.13175424541648,-1.47708499482204,-1.68033598603445,-1.26446086835614,-1.3393752575388,-1.37179774800694,-1.35861024125046,-1.40973701408626,-1.58795761289153,-1.46653823926363,-1.29423847924648,-1.36502567726065,-1.41595367001921,-1.385890589691,-0.977502855916901,-0.998807332878121,-0.868157014329736
"7",-1.38866100190584,-1.42976435726773,-1.36662079800667,-1.444059077074,-1.11776220344036,-1.68570530938666,-1.75462057628267,-1.73173999319263,-1.99128702706944,-1.63646284843893,-2.1475440016888,-1.32483758897286,-1.57629303371046,-1.2169407371173,-2.43665024119325,-1.64394069252812,-1.98010854873162,-1.85615590680525,0.0798720635929073,-1.4324741777406,-0.586730791111707,-1.71206970469317,-1.69325521466524,-0.648886314680394,-1.54404440293956,-1.06319070765466,-0.874062465214321,-0.877866297941146,-0.799950091190059,-0.130766831620202,-1.74161559486123,-1.42926962924332,-0.079690402330856,-1.51483096449034,-0.219057274999005,-0.521061759907451,0.223547848722141,-1.6383113161068,-1.8039302764934,-1.98194234680477,-1.84359357527799,-1.74940499853597,-2.13296338293297,-1.07976628190106,-1.9042894262988,-1.2122927358256,0.417935099788308,0.305476179424402,-1.35028523495086,-0.42394779142675,-0.967605011726818,0.730966474760671,-0.411417874233531,-1.59551246417335,-0.56332404452848,-1.42094277487212,-1.22488630947216,-1.26206697937395,1.40357134392105,-0.445407282796746,-0.916373150688298,-1.21449281072077,-0.650312245671601,-0.50936566172462,-0.497562606005375,-1.05971480032619,-0.924508573109554,-0.943659701209152,0.215489552669509,-0.791875160021053,-0.74616593978489,0.546590807069441,-0.341008450648866,-0.435577410466782,-0.646084679302584,-0.562062692341812,-0.488015715818814,-0.551543946421406,-0.661990709034996,-0.909216054154665,-0.904267922985014,0.109720650528915,-0.704816686747013,-0.292320474352705,-0.119157248879919,-0.128864854400993,-0.243509456324473,-0.470454285647984,-0.545333408609463,1.81829109624692,1.6462112852741,1.93701867450101,-1.35795466369356,-1.39296010455456,-1.33833460076636,-1.36833362563315,-1.21888403818877,-1.00354787027584,-1.32510636533727,-1.34104358471448,-1.81662128423629,-1.37504403644229,-1.13114386871555,-1.47888195448205,-1.68033598603445,-1.26348059499651,-1.33809818141274,-1.37179774800694,-1.35861024125046,-1.40883847775208,-1.58773260933602,-1.46553124964097,-1.29342830598831,-1.36366800249972,-1.41352064612278,-1.385890589691,-0.977107855889377,-0.998149527910976,-0.866784519042162
"8",-1.38959096984689,-1.43149133118813,-1.36717540077147,-1.44499441001329,-1.11738686436896,-1.68673769017653,-1.75676982840915,-1.73173999319263,-1.98790878630088,-1.62856836226199,-2.1475440016888,-1.32842031273075,-1.58001947538376,-1.21922534887246,-2.44442516951549,-1.64765259041869,-1.9769952329922,-1.87187708710389,-0.054055940164882,-1.44522473777859,-0.643572782483376,-1.70892224840916,-1.69374123753247,-0.702828840067272,-1.48139495239911,-0.94723815160134,-0.870807996852899,-0.884518004781188,-0.792567212611105,0.0512800135608693,-1.74275288435224,-1.46358482104881,0.0636525989443079,-1.53479158782623,-0.24160917498207,-0.540955080032773,0.197980159424874,-1.63728238011142,-1.80411470956045,-1.95905811689998,-1.84505323484845,-1.74598212680863,-2.12599761628955,-1.3885638551147,-1.9042894262988,-1.48438109054293,0.883075704077355,0.0718465944629879,-0.885004281922944,0.0638440901520418,-0.980666128702716,0.557527094931898,-0.341737788921374,-1.58545545070851,-0.580912592255393,-1.40995898503238,-1.22402537671654,-1.26234655522133,1.48781544557037,-0.445108042496674,-0.915821600433029,-1.20963123967132,-0.650445667607109,-0.50936566172462,-0.497458998010097,-1.05981398600828,-0.924481361895428,-0.943449657668645,0.241082055033104,-0.791195389445581,-0.745640649260206,0.510165486185773,-0.308530480944979,-0.449888859549664,-0.646084679302584,-0.59974063653856,-0.56154146933459,-0.605433714370941,-0.695809511582087,-0.957194124933931,-0.951877610162172,0.575445846967882,-0.34897754366732,-0.120776494768829,-0.119157248879919,-0.0686739663718712,-0.149576895647415,-0.407376148080059,-0.490324559649332,1.81600388018805,1.64111286982088,1.94074999715494,-1.41223238491632,-1.39464021428884,-1.33989986977212,-1.36833362563315,-1.22730628912568,-1.00354787027584,-1.32510636533727,-1.34027790498994,-1.81662128423629,-1.37504403644229,-1.13114386871555,-1.47708499482204,-1.68033598603445,-1.26348059499651,-1.33809818141274,-1.37179774800694,-1.35726350782092,-1.40797092542943,-1.5872451016324,-1.46414229843729,-1.29286956581026,-1.3623103277388,-1.41108762222635,-1.38438871357703,-0.976877439206655,-0.997591014259627,-0.866725328482007
"9",-1.38886359334706,-1.43129635026163,-1.3644948207416,-1.4328463641328,-1.11748977991797,-1.6960099991226,-1.76429221085182,-1.73685105747557,-1.99466089753947,-1.63733921867606,-2.15419394007318,-1.33080779167193,-1.59307342871479,-1.22424776982334,-2.45481118167128,-1.65600798557277,-1.96973082960023,-1.87187708710389,-0.27795507554607,-1.4846907569438,-0.675106647958256,-1.69875858749202,-1.68082691563185,-0.608429420640236,-1.59822771151507,-1.03054387148431,-0.84097537020653,-0.886180931491198,-0.751223092568964,0.000717333651578908,-1.74425812044329,-1.48892527038209,0.0309092737799302,-1.54442775081598,-0.254374401387579,-0.556585545845526,0.189798498849749,-1.63718280566025,-1.80725007170028,-1.97280748959998,-1.84540355314536,-1.74304823675663,-2.12088938741771,-1.85176021493515,-2.04408955674659,-1.89251362261895,0.357916957299398,0.163266866839193,-1.40502417060121,-1.07433696686514,-1.00678836265451,0.510225445887687,-0.457871264441635,-1.61562649110302,-0.501764127484287,-1.41130051658961,-1.22372975520425,-1.26209804335877,1.31932724227174,-0.445135246160316,-0.915526127081992,-1.20634639436764,-0.650712511478126,-0.5092627770984,-0.49735539001482,-1.05970808535759,-0.924445600368608,-0.943012154285278,0.280117870428786,-0.792920180457971,-0.747120340879034,0.604324761775063,-0.358196647244179,-0.435577410466782,-0.589733486303394,-0.524384748145065,-0.526249107647018,-0.608603700720914,-0.695809511582087,-0.968265987421454,-0.975682453750752,1.57675501931166,0.448102136831193,0.697356330938885,0.537306084501549,0.209708890762816,0.0883855914011303,-0.223398246840277,-0.335299621670782,1.8128181149632,1.64111286982088,1.94593238972984,-1.39538757488167,-1.39464021428884,-1.33833460076636,-1.36833362563315,-1.22449887214671,-1.00354787027584,-1.32510636533727,-1.34027790498994,-1.81334959511967,-1.37806242208029,-1.13053349201461,-1.47708499482204,-1.68655284637527,-1.26250032163688,-1.33809818141274,-1.37179774800694,-1.35726350782092,-1.4076610853142,-1.59658274918629,-1.46379506063637,-1.29217114058769,-1.3623103277388,-1.41108762222635,-1.38288683746307,-0.977099626722137,-0.99736140309185,-0.866025398218312
"10",-1.38717363013087,-1.42917941448824,-1.36175261818231,-1.44723679859194,-1.11652116302729,-1.69703855627991,-1.75891908053563,-1.73276294732032,-1.97947411012581,-1.62944473249912,-2.1342489859861,-1.33289721208199,-1.59587206246126,-1.22881699333366,-2.46362695440826,-1.65693596004542,-1.96869305768709,-1.86064848810337,-0.3551071013445,-1.52537111516025,-0.841490653508984,-1.70751245028194,-1.70287152425253,-0.52751563255992,-1.44753038453941,-0.952866916458297,-0.728696211737467,-0.708247773520078,-0.677394306779427,0.141356172529365,-1.74710134417083,-1.54435750329865,0.0229053498508608,-1.54649264288521,-0.296499648525758,-0.615555030502729,0.173435177699498,-1.63651897598581,-1.80854110316962,-1.97723365752395,-1.84373954123503,-1.74353721843197,-2.11903184964613,-1.3885638551147,-1.9042894262988,-1.48438109054293,1.73833423454431,-0.0398892939968188,-1.39407638347114,-0.396848242450151,-1.03813504339667,0.368320498755055,-0.318511093817322,-1.62065499783543,-0.624883961572673,-1.42526681860784,-1.22576798761472,-1.26222229929802,1.40357134392105,-0.445216857151245,-0.915309446624565,-1.20713475724052,-0.650579089542617,-0.50905700784596,-0.497044566028988,-1.05953447544014,-0.924393924026186,-0.942735149149089,0.281749130166853,-0.794015930042313,-0.747904577437013,0.667238632863933,-0.399485780192146,-0.461338018815969,-0.646084679302584,-0.555783034975688,-0.535072198068911,-0.561053905471324,-0.665372589289705,-0.949812883275582,-0.941675534338495,1.66990005859946,0.376934308215254,0.736943403150549,0.668598751177843,0.420376998864741,0.226153347060815,-0.128781040488389,-0.220281119299599,1.81404340928045,1.64111286982088,1.94365213699688,-1.35733078184042,-1.38959988508601,-1.33363879374906,-1.36833362563315,-1.22169145516774,-1.00354787027584,-1.32363691197246,-1.33849131896603,-1.81007790600305,-1.37806242208029,-1.13053349201461,-1.47528803516204,-1.68655284637527,-1.26250032163688,-1.33809818141274,-1.37040644669036,-1.35591677439138,-1.40707238909525,-1.59838277763041,-1.46275334723361,-1.29178002246306,-1.36095265297787,-1.40987111027813,-1.38288683746307,-0.97744525174622,-0.997380020213561,-0.864610796746822
