"","Comp.1","Comp.2","Comp.3"
"1",-11.1440939221915,-7.16287696370784,-1.56493631781388
"2",-11.3276577915675,-6.88482027651578,-1.4462727952719
"3",-10.915415363347,-6.30739799574187,-3.13377903652594
"4",-11.1297912955065,-6.21631150052357,-2.43945574773186
"5",-11.1536084696338,-6.3864530653214,-2.44511689151808
"6",-10.9795285079169,-6.46684749543134,-3.03626028112312
"7",-10.9506730142528,-6.46793440093099,-3.02070423403278
"8",-10.9625515817797,-6.64997080543542,-2.95296000168229
"9",-10.7659791127928,-7.26196246732068,-3.88471158207459
"10",-10.7564367263439,-7.39169785314294,-3.70929196221224
"11",-10.8314185145882,-7.48261934307994,-4.02914402676398
"12",-10.6227500414732,-7.54016090502354,-5.182844749337
"13",-10.2737941759402,-8.36116733151462,-4.78220403646411
"14",-10.5668230535389,-7.12311469826225,-4.28220669398069
"15",-10.4558015483683,-7.8711270128648,-4.08358692878208
"16",-10.1951447530641,-8.52445934779185,-4.62302049283234
"17",-10.30755271237,-7.86516514864363,-4.03668020907738
"18",-10.2590135788801,-8.25587669251504,-3.54322783111043
"19",-10.0358505933948,-8.83092059755073,-3.82326925227254
"20",-10.2657213689752,-8.02998831948134,-3.12890101728622
"21",-10.4149362819789,-8.0636437624539,-3.24063184756345
"22",-10.2944126082554,-7.63078152793265,-2.58469074401508
"23",-10.3107214060185,-7.33707923956514,-2.10066078050891
"24",-10.3275770788305,-7.76458799845676,-2.3365852963608
"25",-10.3498148794817,-8.00206561436961,-2.67310836511851
"26",-10.2741464489923,-7.79575639643304,-2.27838365745062
"27",-10.4276363856625,-7.08321311546763,-1.70366731984658
"28",-10.5798725579606,-7.21351172461592,-1.1486750850768
"29",-10.333814904777,-7.62025379101596,-1.73990100248222
"30",-10.4862404572429,-7.17525058034955,-1.88816722850214
"31",-10.4984339281286,-7.25395300305178,-1.68355479658533
"32",-10.5736388079998,-6.87156251446832,-1.47446278539348
"33",-10.433771816079,-6.79505369481112,-1.80507464629426
"34",-10.5916137731839,-6.78267374767217,-1.51858094110504
"35",-10.5979416891527,-6.74672010044549,-1.01560228810731
"36",-10.6700616513362,-6.87888832952039,-1.23465211878274
"37",-10.2291181318309,-6.74561778950358,-1.93839680034033
"38",-10.3695312195874,-6.65575877443862,-1.48651125601805
"39",-10.4294732380954,-6.79207018951585,-1.09395294917736
"40",-10.5900450031803,-7.04344776254803,-0.593689557995752
"41",-10.5313623413802,-6.75651183947888,-0.513280114085808
"42",-10.4017053331319,-6.82803480090393,-0.568498329898587
"43",-10.4012706489873,-6.93871411304014,-0.657901666555356
"44",-10.5687794293461,-6.55263291264391,-0.363057397357868
"45",-10.6403202129269,-6.63111022348092,0.12583130642082
"46",-10.6495739167139,-6.65994499475068,0.274694232901082
"47",-10.5284646509548,-6.61911605140727,-0.323388896647234
"48",-10.3964603892659,-6.72435677158395,-0.502540408772101
"49",-10.5232438010713,-6.54906665101446,-0.64837536728101
"50",-10.6616704863154,-6.75153621649909,0.611045743268114
"51",-10.4109871938821,-6.85029217099029,-0.577605737234889
"52",-10.268171508568,-6.65442587054288,-0.695986434421924
"53",-10.2971080328873,-6.7406326727234,-0.413498984015381
"54",-10.323605581051,-6.74857676341398,-0.270151917737043
"55",-10.2473993308286,-6.86200643977742,-0.0832662954922731
"56",-10.2976793878984,-6.69150728293765,0.0496687108497604
"57",-10.2063252666945,-6.70995433066031,-0.321103454177626
"58",-10.2407661159217,-6.95313662272797,-0.503095757874483
"59",-10.184679094963,-6.80424885056869,-0.133579502926133
"60",-10.2077484458588,-6.53721718941628,-0.0853698849724726
"61",-10.0407413933868,-6.32544430096273,0.0219695495731326
"62",-10.0756886373782,-6.26921347274132,-0.0442808474865744
"63",-10.1805820615145,-6.34802150959666,0.289616313615464
"64",-10.2214089716317,-6.24332706958645,0.123047929969488
"65",-10.2395483603924,-6.25748519629772,0.598143560259472
"66",-10.2901604272851,-6.24737266921607,0.587472139174782
"67",-10.3002554011867,-6.14268953736128,0.831949961255371
"68",-10.2561052887604,-6.12001673564046,0.583791436715098
"69",-10.2343275615416,-6.31048056014063,0.691254387229547
"70",-10.1568168252797,-6.27288067357353,0.900981506854452
"71",-10.193969368366,-6.30616088778983,1.17113295181794
"72",-10.3674696669399,-6.33778276947437,1.79819010273207
"73",-10.1615642207713,-6.2996646136393,1.32025129147527
"74",-10.0162987769625,-5.98438923912196,1.07291045462354
"75",-10.1596258140472,-6.02409173316538,1.40181259331021
"76",-10.0327219004941,-5.99387623715067,1.17176980798409
"77",-10.1136002131848,-5.48727138574281,0.63476441120478
"78",-10.1298314211453,-5.08196315107788,0.343528475177703
"79",-10.1242699646708,-5.01578158502242,-0.0695843303307657
"80",-10.2132026526826,-4.90737389558443,-0.125963516130437
"81",-10.0629312314518,-5.14378009996151,-0.817152618298073
"82",-9.87569338474313,-4.86236391552845,-1.18721691201747
"83",-10.0937938470493,-4.62602911765175,-0.889827523498476
